Country Name,Indicator Name,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Incidence of tuberculosis (per 100,000 people)",,221,221,221,221,221,221,221,221,221,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of severe wasting, weight for height, male (% of children under 5)",,2,,,1.6,2.5,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of wasting, weight for height, female (% of children under 5)",,9,,,7.6,9.2,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Suicide mortality rate, male (per 100,000 male population)",,3.69,3.75,3.93,3.94,3.95,3.66,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",,34.8,33.4,31.9,30.5,29.1,27.9,27.1,26.5,26.2,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,People using safely managed sanitation services (% of population),,25.18277868,26.47888915,27.80018622,29.14596246,30.51548818,31.90800909,33.32288589,34.7594829,36.20049998,37.32049791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",,0.096,0.094,0.098,0.094,0.097,0.096,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of overweight, weight for height, male (modeled estimate, % of children under 5)",,2,2.1,2.1,2.1,2.1,2.1,2,1.9,1.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Diarrhea treatment (% of children under 5 who received ORS packet),,,,,83.3,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"People practicing open defecation, rural (% of rural population)",,4.67263028,3.697113163,2.721596047,1.746078931,0.770561815,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Prevalence of underweight, weight for age, male (% of children under 5)",,,,,21.7,22.4,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"People with basic handwashing facilities including soap and water, rural (% of rural population)",,34.3137848,37.84138292,41.36898104,44.89657916,48.42417728,51.9517754,55.47937352,59.00697164,62.53456975,66.06216787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Births attended by skilled health staff (% of total),,,49.8,67.8,52.7,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"People using at least basic sanitation services, rural (% of rural population)",,46.75514472,48.94742515,51.17116948,53.42637772,55.71304987,58.03118593,60.3807859,62.76184977,65.17437755,67.61836924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",,,,,,156.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Risk of catastrophic expenditure for surgical care (% of people at risk),,72.3,70.3,66.1,61.6,60.5,61.1,56.8,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Prevalence of anemia among pregnant women (%),,41.2,40.8,40.3,39.9,39.5,39.1,38.7,38.6,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Children with fever receiving antimalarial drugs (% of children under age 5 with fever),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Physicians (per 1,000 people)",,0.476,0.489,0.535,0.573,0.63,0.661,0.677,0.717,0.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Immunization, measles (% of children ages 12-23 months)",,97,97,97,97,97,97,97,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,1300,1300,1300,1200,1200,1200,1200,1200,1200,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
